id,total_latency_ms
obqa-b50fe35552c1e23d-multi_evidence_explicit-56f37520,50.537083
obqa-04e6dfd92e2deaa5-multi_evidence_implicit-f3cae848,48.619917
obqa-57a7d4bd0121ca21-multi_evidence_implicit-d458a453,39.217625
obqa-3a8a99f59a8d49ad-multi_evidence_implicit-c0cf9587,65.736000
obqa-af6097da6e3be157-multi_evidence_explicit-d12f02d3,49.584667
obqa-47663a97be330e08-multi_evidence_explicit-c3d199c1,77.243834
obqa-e209115007127d0e-multi_evidence_explicit-aa20952c,68.813292
obqa-ff258763ac1d36e1-multi_evidence_explicit-0e273a77,44.840041
obqa-8280efcde1e2cc3e-multi_evidence_implicit-5966e5d0,46.653416
obqa-7e121577e21030c0-multi_evidence_implicit-07d2b75c,55.902958
obqa-8f7973536ff6d87c-multi_evidence_explicit-23fc030b,61.495750
obqa-cb43065258cc0849-multi_evidence_implicit-71c9c85f,44.931375
obqa-51b06975f9902d73-multi_evidence_implicit-1f369c09,41.073250
obqa-cc15f352425e8786-multi_evidence_explicit-40ceecb6,51.952750
obqa-1379b44687993f15-multi_evidence_implicit-7b81908c,53.632750
obqa-fd797fe9fd237fe1-multi_evidence_implicit-c8060b30,38.298083
obqa-c6db4273b94b234a-multi_evidence_implicit-7f6dec5b,49.426917
obqa-1ec6afd892ff59b7-multi_evidence_explicit-e40ee840,54.686291
obqa-1ec6afd892ff59b7-multi_evidence_explicit-e40ee840,54.983208
obqa-55b13fe746a05f4a-multi_evidence_implicit-37d6312d,38.811250
obqa-0898d463b5fa66b4-multi_evidence_implicit-b10b9697,45.703750
obqa-ecf77f9a821ac798-multi_evidence_implicit-65add22f,40.226833
obqa-10af9ad488ba7fb7-multi_evidence_explicit-a4db7ba5,52.078833
obqa-d01ee84ded8e3c5e-multi_evidence_implicit-1a5b4e8b,45.442084
obqa-8f7973536ff6d87c-multi_evidence_explicit-23fc030b,60.719792
obqa-288a7a73a222c7e3-multi_evidence_implicit-f04f2338,144.541792
obqa-e9acabb5f70a5a5f-multi_evidence_explicit-81a699cf,62.155000
obqa-9e315c7d22fce23e-multi_evidence_explicit-1451adbd,54.961292
obqa-9e315c7d22fce23e-multi_evidence_explicit-1451adbd,58.229459
obqa-0898d463b5fa66b4-multi_evidence_implicit-b10b9697,45.491583
obqa-51b06975f9902d73-multi_evidence_implicit-1f369c09,39.878708
obqa-622d4bcc64ef15db-multi_evidence_implicit-5ce9ea6b,36.193208
obqa-47663a97be330e08-multi_evidence_explicit-c3d199c1,63.208125
obqa-4ca75a72387edf19-multi_evidence_explicit-53fd24a4,40.306167
obqa-c6db4273b94b234a-multi_evidence_implicit-7f6dec5b,37.358792
obqa-ecf77f9a821ac798-multi_evidence_implicit-65add22f,39.100208
obqa-e209115007127d0e-multi_evidence_explicit-aa20952c,52.839791
obqa-7a1ab9d8e358ccbe-multi_evidence_implicit-1affeaea,36.160417
obqa-cb43065258cc0849-multi_evidence_implicit-71c9c85f,40.340000
obqa-e5fd6dfaeb760550-multi_evidence_explicit-b674ac9a,45.808084
obqa-288a7a73a222c7e3-multi_evidence_implicit-f04f2338,45.327209
obqa-55104060a53c16e7-multi_evidence_explicit-a8d2e6d0,46.449209
obqa-2c2e3390c83095e7-multi_evidence_explicit-524c76df,48.702042
obqa-288a7a73a222c7e3-multi_evidence_implicit-f04f2338,43.825625
