id,total_latency_ms
obqa-b50fe35552c1e23d-multi_evidence_explicit-56f37520,35.601083
obqa-04e6dfd92e2deaa5-multi_evidence_implicit-f3cae848,85.991291
obqa-57a7d4bd0121ca21-multi_evidence_implicit-d458a453,64.861250
obqa-3a8a99f59a8d49ad-multi_evidence_implicit-c0cf9587,87.827708
obqa-af6097da6e3be157-multi_evidence_explicit-d12f02d3,27.011375
obqa-47663a97be330e08-multi_evidence_explicit-c3d199c1,43.210208
obqa-e209115007127d0e-multi_evidence_explicit-aa20952c,43.565667
obqa-ff258763ac1d36e1-multi_evidence_explicit-0e273a77,27.598791
obqa-8280efcde1e2cc3e-multi_evidence_implicit-5966e5d0,81.536125
obqa-7e121577e21030c0-multi_evidence_implicit-07d2b75c,92.371541
obqa-8f7973536ff6d87c-multi_evidence_explicit-23fc030b,34.230292
obqa-cb43065258cc0849-multi_evidence_implicit-71c9c85f,81.652916
obqa-51b06975f9902d73-multi_evidence_implicit-1f369c09,95.742250
obqa-cc15f352425e8786-multi_evidence_explicit-40ceecb6,31.030292
obqa-1379b44687993f15-multi_evidence_implicit-7b81908c,92.591042
obqa-fd797fe9fd237fe1-multi_evidence_implicit-c8060b30,66.677000
obqa-c6db4273b94b234a-multi_evidence_implicit-7f6dec5b,84.217709
obqa-1ec6afd892ff59b7-multi_evidence_explicit-e40ee840,35.014125
obqa-1ec6afd892ff59b7-multi_evidence_explicit-e40ee840,29.300417
obqa-55b13fe746a05f4a-multi_evidence_implicit-37d6312d,87.383083
obqa-0898d463b5fa66b4-multi_evidence_implicit-b10b9697,84.291791
obqa-ecf77f9a821ac798-multi_evidence_implicit-65add22f,108.525625
obqa-10af9ad488ba7fb7-multi_evidence_explicit-a4db7ba5,41.685708
obqa-d01ee84ded8e3c5e-multi_evidence_implicit-1a5b4e8b,110.944500
obqa-8f7973536ff6d87c-multi_evidence_explicit-23fc030b,42.960625
obqa-288a7a73a222c7e3-multi_evidence_implicit-f04f2338,116.773250
obqa-e9acabb5f70a5a5f-multi_evidence_explicit-81a699cf,39.273833
obqa-9e315c7d22fce23e-multi_evidence_explicit-1451adbd,41.268250
obqa-9e315c7d22fce23e-multi_evidence_explicit-1451adbd,36.724500
obqa-0898d463b5fa66b4-multi_evidence_implicit-b10b9697,90.862750
obqa-51b06975f9902d73-multi_evidence_implicit-1f369c09,123.282625
obqa-622d4bcc64ef15db-multi_evidence_implicit-5ce9ea6b,88.663959
