id,total_latency_ms
obqa-4aae931bee91a991-paraphrase-97705439,117.988125
obqa-02c190c26412b8c1-paraphrase-33a6c87b,10.844292
obqa-feaeb7b3dda08374-paraphrase-6be3458d,9.578833
obqa-78520fc91afa0764-paraphrase-43687d44,11.855375
obqa-1bcd7379e4e4eea5-paraphrase-5682507f,9.957375
obqa-ae0297dfe9acc0a5-multi_evidence_implicit-f698388f,32.334875
obqa-d2b5c74bd4ac0220-multi_evidence_explicit-e4b0b778,23.745875
obqa-526e2d9ee9d43598-multi_evidence_implicit-37f80b8e,33.772417
obqa-e741fc002e3534cb-paraphrase-8d3337ad,15.042500
obqa-ce3dc5cbd2b55e1f-multi_evidence_implicit-35e3e950,29.923084
obqa-99bbb1b03bbbc56d-multi_evidence_explicit-85408c63,21.946416
obqa-0a494ce4d482957d-multi_evidence_explicit-8f2ecd69,22.464083
obqa-c9a94fef9fb67b45-multi_evidence_implicit-3e23fe12,44.114458
obqa-16888ad8789890c6-paraphrase-fb43db6d,15.659750
obqa-6fa200bb44ea2cfb-paraphrase-6dfdbef3,11.575917
obqa-736422969f88d33b-multi_evidence_implicit-021a12c8,31.064083
obqa-624d37ef3622dc67-multi_evidence_implicit-af3ab088,37.239167
obqa-0a494ce4d482957d-multi_evidence_explicit-8f2ecd69,21.143417
obqa-a690b8cf8c600c43-paraphrase-b655f620,14.145708
obqa-ade8e9fd565548ea-multi_evidence_implicit-5450e428,31.373959
obqa-15cece819972cd21-paraphrase-ce8faf6b,9.650125
obqa-a1a9e43a456910ea-multi_evidence_explicit-3054d6d8,18.521375
obqa-526e2d9ee9d43598-multi_evidence_implicit-37f80b8e,40.448042
obqa-4d4220f2c3e235d6-multi_evidence_implicit-db829f09,54.371458
obqa-4aae931bee91a991-paraphrase-97705439,18.087416
obqa-526e2d9ee9d43598-multi_evidence_implicit-37f80b8e,55.375709
obqa-736422969f88d33b-multi_evidence_implicit-021a12c8,47.968125
obqa-a690b8cf8c600c43-paraphrase-b655f620,18.536958
obqa-624d37ef3622dc67-multi_evidence_implicit-af3ab088,48.574042
obqa-e5d71a2d2b0d7532-paraphrase-3482774b,38.676917
obqa-644dc30c4b3c543d-paraphrase-d972b24f,20.503875
obqa-526e2d9ee9d43598-multi_evidence_implicit-37f80b8e,48.158958
obqa-702460d9950c4822-multi_evidence_explicit-f4a886bf,26.253708
obqa-16888ad8789890c6-paraphrase-fb43db6d,14.511041
obqa-78520fc91afa0764-paraphrase-43687d44,10.333042
obqa-a8f792d2fb8fac86-paraphrase-5726baa5,9.662500
obqa-feaeb7b3dda08374-paraphrase-6be3458d,10.434208
obqa-a6a1f16d0258e0cb-paraphrase-d41da84f,10.597917
obqa-938224028e0a9499-paraphrase-8a49f3c1,20.007667
obqa-702460d9950c4822-multi_evidence_explicit-f4a886bf,26.593917
obqa-8c3e0d78bbe231a2-multi_evidence_explicit-d7d5f7a6,46.038667
obqa-10dd4e36738f119c-paraphrase-f675f3af,17.987875
obqa-0a494ce4d482957d-multi_evidence_explicit-8f2ecd69,28.489792
obqa-e741fc002e3534cb-paraphrase-8d3337ad,21.977791
obqa-7279fa825fdf6157-multi_evidence_implicit-c007d86b,37.937375
obqa-702460d9950c4822-multi_evidence_explicit-f4a886bf,25.517667
obqa-624d37ef3622dc67-multi_evidence_implicit-af3ab088,36.670916
obqa-4aae931bee91a991-paraphrase-97705439,14.017583
obqa-78520fc91afa0764-paraphrase-43687d44,10.954750
obqa-78520fc91afa0764-paraphrase-43687d44,9.883250
obqa-dbb9ed8a8475a9f8-paraphrase-6379597d,12.095125
obqa-a1a9e43a456910ea-multi_evidence_explicit-3054d6d8,23.997208
obqa-110b3019ee1271d4-paraphrase-df4d70d6,10.461917
obqa-dbb9ed8a8475a9f8-paraphrase-6379597d,13.585041
obqa-ade8e9fd565548ea-multi_evidence_implicit-5450e428,31.961917
obqa-7279fa825fdf6157-multi_evidence_implicit-c007d86b,34.534042
obqa-ae0297dfe9acc0a5-multi_evidence_implicit-f698388f,30.550083
obqa-938224028e0a9499-paraphrase-8a49f3c1,21.125417
obqa-99bbb1b03bbbc56d-multi_evidence_explicit-85408c63,22.931250
obqa-7279fa825fdf6157-multi_evidence_implicit-c007d86b,34.712667
obqa-915462fb9210c2ac-paraphrase-4825fb90,14.342000
obqa-6fa200bb44ea2cfb-paraphrase-6dfdbef3,13.098833
obqa-16888ad8789890c6-paraphrase-fb43db6d,20.806750
obqa-99bbb1b03bbbc56d-multi_evidence_explicit-85408c63,23.410667
obqa-a1a9e43a456910ea-multi_evidence_explicit-3054d6d8,18.663708
obqa-6fa200bb44ea2cfb-paraphrase-6dfdbef3,12.711000
obqa-a6a1f16d0258e0cb-paraphrase-d41da84f,9.852625
obqa-0f34e6b6464698ed-multi_evidence_explicit-e739c33d,26.498625
obqa-7cd1386930733633-multi_evidence_explicit-5602caf4,23.402584
obqa-e8a5858c1fa0e6f9-multi_evidence_explicit-6606c6a6,22.950333
obqa-4aae931bee91a991-paraphrase-97705439,14.156083
obqa-0f34e6b6464698ed-multi_evidence_explicit-e739c33d,24.655875
obqa-dbb9ed8a8475a9f8-paraphrase-6379597d,13.713042
obqa-ce3dc5cbd2b55e1f-multi_evidence_implicit-35e3e950,31.542375
obqa-624d37ef3622dc67-multi_evidence_implicit-af3ab088,46.248084
obqa-4d4220f2c3e235d6-multi_evidence_implicit-db829f09,31.708166
obqa-e741fc002e3534cb-paraphrase-8d3337ad,14.248500
obqa-15cece819972cd21-paraphrase-ce8faf6b,11.159250
obqa-7cd1386930733633-multi_evidence_explicit-5602caf4,23.465083
obqa-16888ad8789890c6-paraphrase-fb43db6d,14.365584
obqa-624d37ef3622dc67-multi_evidence_implicit-af3ab088,37.443875
obqa-6fa200bb44ea2cfb-paraphrase-6dfdbef3,11.668875
obqa-a8f792d2fb8fac86-paraphrase-5726baa5,11.411875
obqa-d2b5c74bd4ac0220-multi_evidence_explicit-e4b0b778,22.690333
obqa-915462fb9210c2ac-paraphrase-4825fb90,14.676459
obqa-78520fc91afa0764-paraphrase-43687d44,12.236875
obqa-f984cbbcf6d231c3-multi_evidence_explicit-a5dda485,27.665375
obqa-10dd4e36738f119c-paraphrase-f675f3af,18.194291
obqa-ade8e9fd565548ea-multi_evidence_implicit-5450e428,31.866583
obqa-a1a9e43a456910ea-multi_evidence_explicit-3054d6d8,17.953417
obqa-110b3019ee1271d4-paraphrase-df4d70d6,10.889250
obqa-ade8e9fd565548ea-multi_evidence_implicit-5450e428,32.720166
obqa-51aa8b9bcbab1601-paraphrase-855f7d67,15.097833
obqa-10dd4e36738f119c-paraphrase-f675f3af,18.957667
obqa-a6a1f16d0258e0cb-paraphrase-d41da84f,11.322542
obqa-938224028e0a9499-paraphrase-8a49f3c1,21.364917
obqa-02c190c26412b8c1-paraphrase-33a6c87b,11.624750
obqa-e741fc002e3534cb-paraphrase-8d3337ad,14.531958
obqa-938224028e0a9499-paraphrase-8a49f3c1,21.152584
obqa-8c3e0d78bbe231a2-multi_evidence_explicit-d7d5f7a6,37.726625
obqa-7cd1386930733633-multi_evidence_explicit-5602caf4,24.616458
obqa-ce3dc5cbd2b55e1f-multi_evidence_implicit-35e3e950,33.741083
obqa-a8f792d2fb8fac86-paraphrase-5726baa5,10.342041
obqa-110b3019ee1271d4-paraphrase-df4d70d6,11.534500
obqa-0f34e6b6464698ed-multi_evidence_explicit-e739c33d,27.074791
obqa-f984cbbcf6d231c3-multi_evidence_explicit-a5dda485,22.809791
obqa-8c3e0d78bbe231a2-multi_evidence_explicit-d7d5f7a6,26.367375
obqa-ce3dc5cbd2b55e1f-multi_evidence_implicit-35e3e950,31.400666
obqa-6fa200bb44ea2cfb-paraphrase-6dfdbef3,11.589917
obqa-7cd1386930733633-multi_evidence_explicit-5602caf4,54.347625
obqa-f984cbbcf6d231c3-multi_evidence_explicit-a5dda485,56.790334
obqa-7279fa825fdf6157-multi_evidence_implicit-c007d86b,39.320000
obqa-e5d71a2d2b0d7532-paraphrase-3482774b,14.434125
