id,total_latency_ms,ttft_ms
obqa-4aae931bee91a991-paraphrase-97705439,197.714000,
obqa-02c190c26412b8c1-paraphrase-33a6c87b,223.296625,
obqa-feaeb7b3dda08374-paraphrase-6be3458d,246.531750,
obqa-78520fc91afa0764-paraphrase-43687d44,233.630833,
obqa-1bcd7379e4e4eea5-paraphrase-5682507f,234.352250,
obqa-ae0297dfe9acc0a5-multi_evidence_implicit-f698388f,385.234917,
obqa-d2b5c74bd4ac0220-multi_evidence_explicit-e4b0b778,412.138959,
obqa-526e2d9ee9d43598-multi_evidence_implicit-37f80b8e,522.083125,
obqa-e741fc002e3534cb-paraphrase-8d3337ad,262.655125,
obqa-ce3dc5cbd2b55e1f-multi_evidence_implicit-35e3e950,458.671708,
obqa-99bbb1b03bbbc56d-multi_evidence_explicit-85408c63,330.183750,
obqa-0a494ce4d482957d-multi_evidence_explicit-8f2ecd69,419.688666,
obqa-c9a94fef9fb67b45-multi_evidence_implicit-3e23fe12,406.811750,
obqa-16888ad8789890c6-paraphrase-fb43db6d,228.494833,
obqa-6fa200bb44ea2cfb-paraphrase-6dfdbef3,263.883292,
obqa-736422969f88d33b-multi_evidence_implicit-021a12c8,618.614583,
obqa-624d37ef3622dc67-multi_evidence_implicit-af3ab088,342.571791,
obqa-0a494ce4d482957d-multi_evidence_explicit-8f2ecd69,403.579583,
obqa-a690b8cf8c600c43-paraphrase-b655f620,275.562583,
obqa-ade8e9fd565548ea-multi_evidence_implicit-5450e428,411.260041,
obqa-15cece819972cd21-paraphrase-ce8faf6b,294.882833,
obqa-a1a9e43a456910ea-multi_evidence_explicit-3054d6d8,389.886250,
obqa-526e2d9ee9d43598-multi_evidence_implicit-37f80b8e,461.559792,
obqa-4d4220f2c3e235d6-multi_evidence_implicit-db829f09,643.083583,
obqa-4aae931bee91a991-paraphrase-97705439,189.424459,
obqa-526e2d9ee9d43598-multi_evidence_implicit-37f80b8e,426.286000,
obqa-736422969f88d33b-multi_evidence_implicit-021a12c8,647.223291,
obqa-a690b8cf8c600c43-paraphrase-b655f620,360.345375,
obqa-624d37ef3622dc67-multi_evidence_implicit-af3ab088,391.100416,
obqa-e5d71a2d2b0d7532-paraphrase-3482774b,251.431000,
