id,total_latency_ms
obqa-b741edaee1f5829e-negative-510da067,13.019375
obqa-6d6c872ba7db12cb-negative-db00ae66,11.930542
obqa-233c69d0198ba7a2-negative-57895404,12.039792
obqa-1586b4e475b5b009-negative-16743ad5,11.873125
obqa-f8a232ccc077449b-negative-d20ac167,12.566958
obqa-7ad719048406ec0c-direct-8d67aa17,11.282250
obqa-0e842d1357d6c519-direct-de23e366,16.239833
obqa-994f2a3015ba4264-direct-5a885365,12.578584
obqa-6d965e9fc0402c83-negative-5ce5a13e,12.828292
obqa-1a3e9677863eeef8-direct-2850354f,11.122083
obqa-1686b8478e669259-direct-3cbf231b,14.182541
obqa-f17471c90c83bb10-direct-c1f21ad1,16.279750
obqa-6eeb25f481f01ad1-direct-fa60a7a8,12.918625
obqa-5add559bcfe67a39-negative-18df6c93,11.959042
obqa-133d26d65632146b-negative-ab357b1d,12.272666
obqa-9e05a644d363ea3f-direct-7ca323a7,11.483375
obqa-dddb15ef711ce22c-direct-a02ae4d9,11.924875
obqa-f17471c90c83bb10-direct-c1f21ad1,16.375875
obqa-3270cf9a2a7189cf-negative-ea80ce16,12.771417
obqa-3faa371cb26a6d75-direct-fd558438,11.947375
obqa-e3b2fb21eca812e1-negative-0837657e,12.814917
obqa-819426a495d4e7de-direct-8c8e7b82,14.848000
obqa-994f2a3015ba4264-direct-5a885365,12.451667
obqa-a4e35ed043c863f7-direct-9f068a17,12.355917
obqa-b741edaee1f5829e-negative-510da067,11.766375
obqa-994f2a3015ba4264-direct-5a885365,12.008500
obqa-9e05a644d363ea3f-direct-7ca323a7,12.497416
obqa-3270cf9a2a7189cf-negative-ea80ce16,12.338875
obqa-dddb15ef711ce22c-direct-a02ae4d9,12.056375
obqa-70989ade192685cd-negative-02ffe4cd,12.234958
obqa-c038b5565a0a99a5-negative-f7803f6a,13.448833
obqa-994f2a3015ba4264-direct-5a885365,11.786167
obqa-510a808edae62638-direct-1ebf3a16,14.591583
obqa-5add559bcfe67a39-negative-18df6c93,11.832459
obqa-1586b4e475b5b009-negative-16743ad5,12.295417
obqa-4f2b09bd534f13b8-negative-a36ee45b,11.628375
obqa-233c69d0198ba7a2-negative-57895404,11.913000
obqa-518b79ee50a35fe8-negative-4b109aec,12.278459
obqa-d92e52c69963be4e-negative-d7dacf89,12.709625
obqa-510a808edae62638-direct-1ebf3a16,14.334375
obqa-47110169245e6446-direct-528dc6c8,9.342584
obqa-8070bd398e0dcbc8-negative-5afdfe28,12.128583
obqa-f17471c90c83bb10-direct-c1f21ad1,16.588000
obqa-6d965e9fc0402c83-negative-5ce5a13e,11.277125
obqa-428056d2b94da395-direct-c5b4f253,13.537333
obqa-510a808edae62638-direct-1ebf3a16,15.082667
obqa-dddb15ef711ce22c-direct-a02ae4d9,12.615541
obqa-b741edaee1f5829e-negative-510da067,12.315459
obqa-1586b4e475b5b009-negative-16743ad5,11.459584
obqa-1586b4e475b5b009-negative-16743ad5,11.854625
obqa-3d93af2f211075a2-negative-6b213ac6,12.428709
obqa-819426a495d4e7de-direct-8c8e7b82,15.027167
obqa-fa9baa11e67c7cff-negative-cf9a5302,11.983500
obqa-3d93af2f211075a2-negative-6b213ac6,11.919416
obqa-3faa371cb26a6d75-direct-fd558438,11.785333
obqa-428056d2b94da395-direct-c5b4f253,15.159708
obqa-7ad719048406ec0c-direct-8d67aa17,12.664042
obqa-d92e52c69963be4e-negative-d7dacf89,11.243625
obqa-1686b8478e669259-direct-3cbf231b,14.389625
obqa-428056d2b94da395-direct-c5b4f253,14.517375
obqa-1d456092f2340953-negative-d8cd75b7,12.605917
obqa-133d26d65632146b-negative-ab357b1d,11.878917
obqa-5add559bcfe67a39-negative-18df6c93,11.441167
obqa-1686b8478e669259-direct-3cbf231b,14.479458
obqa-819426a495d4e7de-direct-8c8e7b82,14.993542
obqa-133d26d65632146b-negative-ab357b1d,12.086458
obqa-518b79ee50a35fe8-negative-4b109aec,11.342833
obqa-b85095e08655def8-direct-8e76a528,18.122166
obqa-f0d3e2aa312e92d4-direct-e2d18909,11.482917
obqa-8cca97131c73543c-direct-d6427748,16.671125
obqa-b741edaee1f5829e-negative-510da067,12.121458
obqa-b85095e08655def8-direct-8e76a528,17.791000
obqa-3d93af2f211075a2-negative-6b213ac6,12.454458
obqa-1a3e9677863eeef8-direct-2850354f,11.892333
obqa-dddb15ef711ce22c-direct-a02ae4d9,12.488042
obqa-a4e35ed043c863f7-direct-9f068a17,12.033125
obqa-6d965e9fc0402c83-negative-5ce5a13e,11.999625
obqa-e3b2fb21eca812e1-negative-0837657e,12.116583
obqa-f0d3e2aa312e92d4-direct-e2d18909,11.522375
obqa-5add559bcfe67a39-negative-18df6c93,12.308583
obqa-dddb15ef711ce22c-direct-a02ae4d9,10.955000
obqa-133d26d65632146b-negative-ab357b1d,12.040959
obqa-4f2b09bd534f13b8-negative-a36ee45b,12.069500
obqa-0e842d1357d6c519-direct-de23e366,16.581834
obqa-1d456092f2340953-negative-d8cd75b7,11.764917
obqa-1586b4e475b5b009-negative-16743ad5,11.550458
obqa-9d2f65a0b1ff6c76-direct-7bb58d43,14.237625
obqa-8070bd398e0dcbc8-negative-5afdfe28,11.842666
obqa-3faa371cb26a6d75-direct-fd558438,11.973167
obqa-819426a495d4e7de-direct-8c8e7b82,14.693583
obqa-fa9baa11e67c7cff-negative-cf9a5302,12.215292
obqa-3faa371cb26a6d75-direct-fd558438,11.761708
obqa-fd372f05d74add45-negative-f641e1ec,11.695667
obqa-8070bd398e0dcbc8-negative-5afdfe28,11.240500
obqa-518b79ee50a35fe8-negative-4b109aec,12.504417
obqa-d92e52c69963be4e-negative-d7dacf89,12.480042
obqa-6d6c872ba7db12cb-negative-db00ae66,12.094666
obqa-6d965e9fc0402c83-negative-5ce5a13e,11.883750
obqa-d92e52c69963be4e-negative-d7dacf89,12.367750
obqa-47110169245e6446-direct-528dc6c8,8.556709
obqa-f0d3e2aa312e92d4-direct-e2d18909,11.512917
obqa-1a3e9677863eeef8-direct-2850354f,11.903333
obqa-4f2b09bd534f13b8-negative-a36ee45b,12.281000
obqa-fa9baa11e67c7cff-negative-cf9a5302,11.539708
obqa-b85095e08655def8-direct-8e76a528,17.038875
obqa-9d2f65a0b1ff6c76-direct-7bb58d43,14.700916
obqa-47110169245e6446-direct-528dc6c8,9.361708
obqa-1a3e9677863eeef8-direct-2850354f,11.494792
obqa-133d26d65632146b-negative-ab357b1d,11.864041
obqa-f0d3e2aa312e92d4-direct-e2d18909,11.761250
obqa-9d2f65a0b1ff6c76-direct-7bb58d43,15.327125
obqa-428056d2b94da395-direct-c5b4f253,14.653209
obqa-70989ade192685cd-negative-02ffe4cd,11.461875
obqa-6eeb25f481f01ad1-direct-fa60a7a8,12.473459
obqa-04d990bf1581afcd-direct-cfec79cb,12.405042
obqa-9d2f65a0b1ff6c76-direct-7bb58d43,15.074375
obqa-4f2b09bd534f13b8-negative-a36ee45b,11.929959
obqa-510a808edae62638-direct-1ebf3a16,14.894042
obqa-9e05a644d363ea3f-direct-7ca323a7,12.521458
obqa-233c69d0198ba7a2-negative-57895404,12.350083
obqa-7ad719048406ec0c-direct-8d67aa17,11.833667
obqa-c038b5565a0a99a5-negative-f7803f6a,12.539542
obqa-04d990bf1581afcd-direct-cfec79cb,12.105625
obqa-994f2a3015ba4264-direct-5a885365,12.907583
obqa-1a3e9677863eeef8-direct-2850354f,12.174167
obqa-e3b2fb21eca812e1-negative-0837657e,12.633625
obqa-04d990bf1581afcd-direct-cfec79cb,12.647917
obqa-fd372f05d74add45-negative-f641e1ec,12.240458
obqa-0e842d1357d6c519-direct-de23e366,16.722250
obqa-f17471c90c83bb10-direct-c1f21ad1,16.557708
obqa-f0d3e2aa312e92d4-direct-e2d18909,10.835250
obqa-7ad719048406ec0c-direct-8d67aa17,12.007875
obqa-0e842d1357d6c519-direct-de23e366,15.721167
obqa-5add559bcfe67a39-negative-18df6c93,11.485584
obqa-e3b2fb21eca812e1-negative-0837657e,11.846084
obqa-c038b5565a0a99a5-negative-f7803f6a,12.044041
obqa-3d93af2f211075a2-negative-6b213ac6,11.649375
obqa-8070bd398e0dcbc8-negative-5afdfe28,12.362916
obqa-6d6c872ba7db12cb-negative-db00ae66,11.947125
obqa-70989ade192685cd-negative-02ffe4cd,11.790333
obqa-9d2f65a0b1ff6c76-direct-7bb58d43,14.833542
obqa-d92e52c69963be4e-negative-d7dacf89,12.396834
obqa-8cca97131c73543c-direct-d6427748,16.771958
obqa-04d990bf1581afcd-direct-cfec79cb,11.606959
obqa-510a808edae62638-direct-1ebf3a16,13.913750
