id,total_latency_ms
obqa-968a321ff3dd19ae-direct-845ad942,10.566375
obqa-a9320823c5d713db-paraphrase-35541696,9.405375
obqa-607fcbb254608b94-multi_evidence-25c5e533,26.469792
obqa-1690463a38be2187-direct-fb782819,11.686625
obqa-b5edb1ead32eca75-direct-c89fc2e3,11.244833
obqa-26d2ad25e2c7794d-multi_evidence-33582d6b,26.890792
obqa-b0d3648727c18df1-direct-fc59af40,11.125792
obqa-d0a4e0d426e9fa03-multi_evidence-8f3edd98,25.586167
obqa-59a7db9dfa46bfd7-direct-a3c34766,11.471084
obqa-084924e91cdaa33f-negative-09b80964,5.838709
obqa-607fcbb254608b94-paraphrase-aded8701,39.807000
obqa-b0d3648727c18df1-direct-fc59af40,10.241875
obqa-2c6bea15f5dffb05-direct-ec70568e,10.727125
obqa-8c75be264d4fe7af-multi_evidence-606dd39b,27.001958
obqa-dd6f801cd8969587-negative-a3cfe4cc,6.555334
obqa-607fcbb254608b94-multi_evidence-52f1cac2,29.950708
obqa-7e59685684ce6d7a-direct-b35c1c78,10.696750
obqa-2231ec312efc70ca-paraphrase-031db293,29.067500
obqa-ab2ce231ba32674b-negative-5b323060,5.780667
obqa-6f1e061c186e9978-negative-26b33474,8.970625
obqa-1b73fa9020ef49ea-negative-3d703c28,4.696333
obqa-cd7dba3d5ae0114d-direct-b2920c6b,12.504042
obqa-2cf217ea0a1833f7-direct-54badc14,11.536208
obqa-3823cd141f0d5dab-direct-2aeebc55,13.757000
obqa-0f51fbb65d1dbe9d-direct-202f07ac,14.834875
obqa-b5edb1ead32eca75-negative-3cb907bc,7.532708
obqa-64dabdaae9bf7608-negative-b65e0ec6,8.517958
obqa-e2a9b279f09c7ffe-paraphrase-33d239eb,40.765083
obqa-6e712a2341bd92e7-paraphrase-ba7a5f99,13.879708
obqa-2b614fba81bed15e-direct-2fc80dc1,14.316500
obqa-826080d84c42d0c5-multi_evidence-4cf5dc51,35.105125
obqa-037486d464937544-multi_evidence-c81defcb,35.356875
obqa-fa95768ca1a671a9-negative-fb4f2d11,10.302167
obqa-8b789de1cbb8804c-paraphrase-c7e6ed97,51.131959
