id,total_latency_ms,ttft_ms
obqa-968a321ff3dd19ae-direct-845ad942,695.551250,
obqa-a9320823c5d713db-paraphrase-35541696,583.211792,
obqa-607fcbb254608b94-multi_evidence-25c5e533,1772.201166,
obqa-1690463a38be2187-direct-fb782819,499.126208,
obqa-b5edb1ead32eca75-direct-c89fc2e3,1008.454500,
obqa-26d2ad25e2c7794d-multi_evidence-33582d6b,1165.339000,
obqa-b0d3648727c18df1-direct-fc59af40,450.121875,
obqa-d0a4e0d426e9fa03-multi_evidence-8f3edd98,584.567875,
obqa-59a7db9dfa46bfd7-direct-a3c34766,1203.086167,
obqa-084924e91cdaa33f-negative-09b80964,1164.715334,
obqa-607fcbb254608b94-paraphrase-aded8701,1166.645416,
obqa-b0d3648727c18df1-direct-fc59af40,882.213417,
obqa-2c6bea15f5dffb05-direct-ec70568e,1151.136500,
obqa-8c75be264d4fe7af-multi_evidence-606dd39b,3730.625125,
obqa-dd6f801cd8969587-negative-a3cfe4cc,1008.779417,
obqa-607fcbb254608b94-multi_evidence-52f1cac2,3740.444667,
obqa-7e59685684ce6d7a-direct-b35c1c78,547.000750,
obqa-2231ec312efc70ca-paraphrase-031db293,1951.096209,
obqa-ab2ce231ba32674b-negative-5b323060,534.700917,
obqa-6f1e061c186e9978-negative-26b33474,563.821583,
obqa-1b73fa9020ef49ea-negative-3d703c28,2899.451959,
obqa-cd7dba3d5ae0114d-direct-b2920c6b,1032.122375,
obqa-2cf217ea0a1833f7-direct-54badc14,1335.836292,
obqa-3823cd141f0d5dab-direct-2aeebc55,1180.046416,
obqa-0f51fbb65d1dbe9d-direct-202f07ac,1682.695166,
obqa-b5edb1ead32eca75-negative-3cb907bc,600.255083,
obqa-64dabdaae9bf7608-negative-b65e0ec6,1189.883084,
obqa-e2a9b279f09c7ffe-paraphrase-33d239eb,604.825625,
obqa-6e712a2341bd92e7-paraphrase-ba7a5f99,1119.756875,
obqa-2b614fba81bed15e-direct-2fc80dc1,920.122917,
obqa-826080d84c42d0c5-multi_evidence-4cf5dc51,8394.046625,
obqa-037486d464937544-multi_evidence-c81defcb,2062.934875,
obqa-fa95768ca1a671a9-negative-fb4f2d11,548.615500,
obqa-8b789de1cbb8804c-paraphrase-c7e6ed97,1672.134791,
obqa-b5edb1ead32eca75-negative-3cb907bc,614.954459,
obqa-767377fe44935fa3-negative-1ed2babe,948.198542,
obqa-145b09320ed8b531-direct-516ec11d,911.018542,
obqa-64dabdaae9bf7608-direct-ca71ec98,1634.561500,
obqa-e2f433c251a5638c-direct-9fba2388,996.628917,
obqa-2c6bea15f5dffb05-direct-ec70568e,1268.919709,
obqa-d3cc94c8e3606a6a-paraphrase-a2185500,730.606667,
obqa-9c28ef50f15e917b-paraphrase-e5d86c6e,1218.996541,
obqa-826080d84c42d0c5-direct-02aebb51,967.536500,
obqa-6a5947508a6806c8-direct-9797910d,1114.079584,
obqa-a6f27b9d9cb19379-paraphrase-c4932ace,827.780875,
obqa-f307d0516c93940f-multi_evidence-32ce76d4,1385.988584,
obqa-79b175cf1c2d1a4a-paraphrase-378e4ec0,1230.641083,
obqa-826080d84c42d0c5-multi_evidence-4cf5dc51,3709.546500,
obqa-968a321ff3dd19ae-negative-59e55ca9,379.949167,
obqa-3823cd141f0d5dab-negative-f3e628fd,356.421167,
obqa-d2915c285e295462-direct-9143a7e6,427.915666,
obqa-375cf44c18ff5bb6-multi_evidence-dce89bb2,1747.984166,
obqa-d03027023965de50-negative-87d14304,463.033875,
obqa-75732b64423dab26-direct-7c7ba8ab,680.290792,
obqa-b0d3648727c18df1-negative-295b9c42,344.929208,
obqa-e03cc6877ac7298b-direct-e2791bdf,428.132250,
obqa-8b789de1cbb8804c-paraphrase-c7e6ed97,544.520666,
