set,scale,category,cases,answer_accuracy,unsupported_claim_rate,object_recall,object_precision,latency_p50_ms,latency_p95_ms,latency_p99_ms,tokens_per_second
heldout_v2,MicroWorld,paraphrase,100,1.0,0.0,1.0,0.8083333333333332,17.337271,24.7423729,26.452131910000006,
heldout_v2,MicroWorld,multi_evidence_implicit,50,1.0,0.0,1.0,0.9666666666666667,23.244167,29.92889115,31.05137276,
heldout_v2,MicroWorld,multi_evidence_explicit,50,1.0,0.0,1.0,1.0,39.780249999999995,50.137798249999996,51.55682567,
heldout_v2,Qwen-0.5B,paraphrase,20,0.7,0.0,0.7416666666666667,0.7368421052631579,297.1071665,513.34875355,651.0687358400002,18.82276039625005
heldout_v2,Qwen-0.5B,multi_evidence_implicit,10,0.7,0.0,0.85,0.9666666666666666,503.021979,940.8331355999999,1039.6355062499997,59.59223533743185
heldout_v2,Qwen-0.5B,multi_evidence_explicit,10,0.6,0.0,0.8166666666666667,1.0,418.90168700000004,730.45882895,855.25003967,43.7370801632029
heldout_v2,Qwen-3B,multi_evidence_implicit,10,0.9,0.0,0.95,0.9666666666666666,3417.602229,8037.627937499998,8902.333191250002,7.918373452863527
heldout_v2,Qwen-3B,multi_evidence_explicit,10,0.7,0.0,0.9166666666666666,1.0,2847.1343955,4107.411581249999,4361.33900625,6.531261032558935
heldout_v2,Qwen-3B,paraphrase,20,0.5,0.0,0.5,0.95,1608.9643959999999,2945.9981889499995,3181.402421029999,1.4870774253159809
heldout_v2,Qwen-7B,multi_evidence_implicit,10,0.7,0.0,0.7,0.9523809523809524,10994.9319375,15838.494224999999,18492.13896982,2.8715800262499114
heldout_v2,Qwen-7B,multi_evidence_explicit,10,0.0,0.0,0.0,,5198.4361665,6919.987818599999,7096.92369375,0.1916841441141423
heldout_v2,Qwen-7B,paraphrase,20,0.15,0.0,0.15,1.0,3846.4306045000003,7238.246449699997,9864.979897719988,0.28406336579376157
heldout_v3,MicroWorld,paraphrase,100,1.0,0.05,1.0,0.7291666666666667,13.629666499999999,50.57466875,56.24331241,
heldout_v3,MicroWorld,multi_evidence_implicit,50,1.0,0.0,1.0,1.0,15.017624999999999,18.044317,18.37942909,
heldout_v3,MicroWorld,multi_evidence_explicit,50,1.0,0.0,1.0,1.0,23.538937500000003,29.45702065,30.38745242,
heldout_v3,Qwen-0.5B,paraphrase,20,0.8,0.05,0.8516666666666668,0.9736842105263158,238.47325,302.8147295,312.43846476000004,15.062994993914867
