proposal_id,term,sense,source_risk_level,proposal_decision,item_type,value,item_decision,item_risk_level,reason
prop_cf6dc4c79801,bank,financial_institution,medium,partial_accept,positive_cue,account,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_cf6dc4c79801,bank,financial_institution,medium,partial_accept,positive_cue,deposit,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_cf6dc4c79801,bank,financial_institution,medium,partial_accept,positive_cue,loan,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_cf6dc4c79801,bank,financial_institution,medium,partial_accept,positive_cue,teller,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_cf6dc4c79801,bank,financial_institution,medium,partial_accept,positive_cue,cash,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_cf6dc4c79801,bank,financial_institution,medium,partial_accept,positive_cue,saving,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_cf6dc4c79801,bank,financial_institution,medium,partial_accept,positive_cue,atm,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_cf6dc4c79801,bank,financial_institution,medium,partial_accept,positive_cue,interest,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_cf6dc4c79801,bank,financial_institution,medium,partial_accept,positive_cue,check,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_cf6dc4c79801,bank,financial_institution,medium,partial_accept,positive_cue,branch,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_cf6dc4c79801,bank,financial_institution,medium,partial_accept,typical_action,deposit,accepted_auto,low,concrete_action_non_generic
prop_cf6dc4c79801,bank,financial_institution,medium,partial_accept,typical_action,withdraw,accepted_auto,low,concrete_action_non_generic
prop_cf6dc4c79801,bank,financial_institution,medium,partial_accept,typical_action,open an account,accepted_auto,low,concrete_action_non_generic
prop_cf6dc4c79801,bank,financial_institution,medium,partial_accept,typical_action,request a loan,accepted_auto,low,concrete_action_non_generic
prop_cf6dc4c79801,bank,financial_institution,medium,partial_accept,typical_location,branch,accepted_auto,low,concrete_location
prop_cf6dc4c79801,bank,financial_institution,medium,partial_accept,semantic_frame_hint,financial_transaction,accepted_auto,low,known_compatible_frame_label
prop_cf6dc4c79801,bank,financial_institution,medium,partial_accept,phrase_candidate_hint,went to the bank to deposit,needs_review,medium,phrase_candidate_needs_prompt_tail_validation
prop_8303fbb873e6,bank,river_edge,medium,partial_accept,positive_cue,stream,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_8303fbb873e6,bank,river_edge,medium,partial_accept,positive_cue,current,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_8303fbb873e6,bank,river_edge,medium,partial_accept,positive_cue,reed,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_8303fbb873e6,bank,river_edge,medium,partial_accept,positive_cue,grass,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_8303fbb873e6,bank,river_edge,medium,partial_accept,positive_cue,fishermen,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_8303fbb873e6,bank,river_edge,medium,partial_accept,positive_cue,bridge,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_8303fbb873e6,bank,river_edge,medium,partial_accept,positive_cue,floodwater,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_8303fbb873e6,bank,river_edge,medium,partial_accept,positive_cue,soil,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_8303fbb873e6,bank,river_edge,medium,partial_accept,positive_cue,river bank,accepted_auto,low,narrow_multiword_exception_concrete
prop_8303fbb873e6,bank,river_edge,medium,partial_accept,typical_action,fish,accepted_auto,low,concrete_action_non_generic
prop_8303fbb873e6,bank,river_edge,medium,partial_accept,typical_action,cast,accepted_auto,low,concrete_action_non_generic
prop_8303fbb873e6,bank,river_edge,medium,partial_accept,typical_action,erode,accepted_auto,low,concrete_action_non_generic
prop_8303fbb873e6,bank,river_edge,medium,partial_accept,typical_location,river,accepted_auto,low,concrete_location
prop_8303fbb873e6,bank,river_edge,medium,partial_accept,semantic_frame_hint,natural_geography,accepted_auto,low,known_compatible_frame_label
prop_8303fbb873e6,bank,river_edge,medium,partial_accept,phrase_candidate_hint,stood on the bank,needs_review,medium,phrase_candidate_needs_prompt_tail_validation
prop_0ccd88a2cbfd,bat,animal,medium,partial_accept,positive_cue,cave,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_0ccd88a2cbfd,bat,animal,medium,partial_accept,positive_cue,roost,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_0ccd88a2cbfd,bat,animal,medium,partial_accept,positive_cue,rafter,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_0ccd88a2cbfd,bat,animal,medium,partial_accept,positive_cue,insect,accepted_auto,low,concrete_term_specific_non_conflicting_cue
prop_0ccd88a2cbfd,bat,animal,medium,partial_accept,positive_cue,echolocation,accepted_auto,low,concrete_term_specific_non_conflicting_cue
