batch_index,started_at,finished_at,status,titles_planned,titles_fetched,fetch_success,fetch_failed,ready_count,not_ready_count,attribution_mode
0,2026-06-15T09:15:46Z,2026-06-15T09:20:30Z,completed,250,250,199,51,147,103,exact
0,2026-06-15T09:28:54Z,2026-06-15T09:33:18Z,completed,250,250,128,122,122,128,exact
0,2026-06-15T10:33:00Z,2026-06-15T10:37:16Z,completed,250,250,128,122,122,128,exact
1,2026-06-15T12:24:19Z,2026-06-15T12:27:39Z,completed,250,250,72,178,70,180,exact
2,2026-06-15T12:27:39Z,2026-06-15T12:30:58Z,completed,250,250,95,155,89,161,exact
3,2026-06-15T12:30:58Z,2026-06-15T12:34:27Z,completed,250,250,173,77,155,95,exact
4,2026-06-15T12:34:27Z,2026-06-15T12:37:52Z,completed,250,250,155,95,139,111,exact
0,2026-06-16T17:52:27Z,2026-06-16T17:55:46Z,completed,250,250,128,122,122,128,exact
1,2026-06-16T17:55:46Z,2026-06-16T17:58:55Z,completed,250,250,72,178,70,180,exact
2,2026-06-16T17:58:55Z,2026-06-16T18:02:16Z,completed,250,250,95,155,89,161,exact
3,2026-06-16T18:02:16Z,2026-06-16T18:05:47Z,completed,250,250,173,77,155,95,exact
0,2026-06-17T17:08:25Z,2026-06-17T17:11:59Z,completed,250,250,136,114,130,120,exact
1,2026-06-17T17:11:59Z,2026-06-17T17:15:22Z,completed,250,250,78,172,75,175,exact
2,2026-06-17T17:15:22Z,2026-06-17T17:19:01Z,completed,250,250,155,95,143,107,exact
3,2026-06-17T17:19:01Z,2026-06-17T17:22:42Z,completed,250,250,181,69,164,86,exact
0,2026-06-17T20:43:03Z,2026-06-17T20:46:39Z,completed,250,250,148,102,137,113,exact
