source_page,ingestion_candidate_count,relation_candidate_count,safe_delta_count,weak_context_count,entity_count,answerable_before_precision_count,precision_accepted_count,precision_rejected_count,precision_quarantined_count,property_candidate_count,final_fact_count
Aerospace,22,0,22,20,1,2,1,1,0,0,0
Army Ballistic Missile Agency,21,0,21,19,1,2,1,1,0,0,0
Bloomberg Billionaires Index,21,0,21,20,1,1,1,0,0,0,0
Byron K. Lichtenberg,21,0,21,20,1,1,1,0,0,0,0
Commercial Resupply Services,21,0,22,20,1,2,1,1,0,0,0
Development of the Commercial Crew Program,21,0,21,20,1,1,1,0,0,0,0
Dragon Spacecraft Qualification Unit,21,0,22,20,1,2,2,0,0,0,1
Kimbal Musk,21,0,21,20,1,1,1,0,0,0,0
Mission control center,21,0,21,20,1,1,1,0,0,0,0
NASA Launch Services Program,21,0,21,20,1,1,1,0,0,0,0
Satellite Internet access,21,0,18,18,0,0,0,0,0,0,0
Sea Launch,21,0,21,20,1,1,1,0,0,0,0
Space.com,21,0,19,19,0,0,0,0,0,0,0
SpaceX,21,0,19,19,0,1,1,0,0,0,1
SpaceX Crew-1,21,0,21,20,1,1,1,0,0,0,0
Commercial Spaceflight Federation,20,0,20,19,1,1,1,0,0,0,0
Ellison,20,0,20,4,1,16,1,0,15,0,0
Greg Brockman,20,0,21,19,1,1,1,0,0,0,0
Northrop Grumman,20,2,23,9,1,12,4,8,0,0,3
Reusable launch vehicle,20,0,17,17,0,0,0,0,0,0,0
"Tesla, Inc.",20,0,17,17,0,0,0,0,0,0,0
Tesla Energy,20,0,17,17,0,0,0,0,0,0,0
Tesla Powerwall,20,0,20,19,1,1,1,0,0,0,0
Aerospace manufacturer,19,0,18,18,0,0,0,0,0,0,0
Brian Binnie,19,0,19,18,1,1,1,0,0,0,0
Cape Canaveral Space Force Station,19,0,17,17,0,0,0,0,0,0,0
Rocketplane Kistler,19,0,19,18,1,1,1,0,0,0,0
SpaceX Starship design history,19,0,19,18,1,1,1,0,0,0,0
Vector Launch,19,0,20,18,1,2,1,1,0,0,0
Artemis Accords,18,0,19,17,1,2,2,0,0,0,1
Axiom Space,18,0,19,17,1,2,1,1,0,0,0
Boeing Starliner,18,0,19,17,1,1,1,0,0,0,0
Collins Aerospace,18,0,18,17,1,1,1,0,0,0,0
Crew Dragon Demo-1,18,0,18,17,1,1,1,0,0,0,0
Delta IV,18,0,19,17,1,2,2,0,0,0,1
Gwynne Shotwell,18,0,16,16,0,0,0,0,0,0,0
Joseph Schumpeter,18,0,18,12,1,6,1,0,5,0,0
Oracle Database,18,0,18,17,1,1,1,0,0,0,0
Project Gemini,18,0,19,17,1,2,2,0,0,0,1
Safra Catz,18,0,18,17,1,1,1,0,0,0,0
Sierra Nevada Corporation,18,1,18,17,1,1,1,0,0,0,0
SpaceX launch vehicles,18,0,18,17,1,1,1,0,0,0,0
Tesla Autopilot,18,0,18,16,1,2,1,1,0,0,0
Xoom (money transfer service),18,0,18,17,1,1,1,0,0,0,0
Asahi Kasei,17,0,18,16,1,1,1,0,0,0,0
Jeff Bezos,17,0,16,16,0,1,1,0,0,0,1
Microsoft,17,0,17,16,1,1,1,0,0,0,0
Mike Melvill,17,0,17,16,1,1,1,0,0,0,0
Project Mercury,17,0,18,16,1,2,2,0,0,0,1
Rockwell Collins,17,0,17,16,1,1,1,0,0,0,0
SpaceX Crew-2,17,0,18,16,1,2,2,0,0,0,1
Space Age,17,0,18,16,1,2,2,0,0,0,1
Stennis Space Center,17,0,17,15,1,2,2,0,0,0,1
Strategic Air Command,17,0,18,16,1,2,2,0,0,0,1
Tesla Cybertruck,17,0,16,16,0,0,0,0,0,0,0
Tesla Powerpack,17,1,19,16,1,3,2,1,0,0,1
UAL Corporation,17,0,18,16,1,2,2,0,0,0,1
Vulcan Centaur,17,0,18,16,1,2,2,0,0,0,1
X Corp.,17,0,13,13,0,0,0,0,0,0,0
Automated Transfer Vehicle,16,0,16,15,1,1,1,0,0,0,0
Ballistic missile,16,0,16,15,1,1,1,0,0,0,0
Bob Miner,16,0,16,15,1,1,1,0,0,0,0
Boeing X-37,16,0,18,15,1,3,3,0,0,0,2
Boing Boing,16,0,16,15,1,1,1,0,0,0,0
Business journalism,16,0,17,11,1,6,1,5,0,0,0
Commercial Crew Program,16,0,13,13,0,0,0,0,0,0,0
Crew Exploration Vehicle,16,0,17,15,1,1,1,0,0,0,0
Gigafactory Nevada,16,0,16,15,1,1,1,0,0,0,0
Marshall Space Flight Center,16,0,16,15,1,1,1,0,0,0,0
Phibro,16,0,16,15,1,1,1,0,0,0,0
Royal Mail Steam Packet Company,16,0,17,14,1,3,2,1,0,0,1
SpaceX COTS Demo Flight 2,16,0,16,15,1,1,1,0,0,0,0
Stoke Space,16,0,17,15,1,2,2,0,0,0,1
Stoke Space Nova,16,0,16,15,1,1,1,0,0,0,0
White Sands Missile Range,16,0,17,15,1,2,2,0,0,0,1
Ampex,15,0,15,14,1,1,1,0,0,0,0
Artemis II,15,0,15,14,1,1,1,0,0,0,0
Barbara Morgan,15,0,15,14,1,1,1,0,0,0,0
Bloomberg Radio,15,0,17,14,1,3,3,0,0,0,2
Crew Dragon Demo-2,15,0,15,14,1,1,1,0,0,0,0
Disaster Monitoring Constellation,15,0,15,14,1,1,1,0,0,0,0
Falcon Heavy,15,0,13,13,0,0,0,0,0,0,0
Hyperloop One,15,0,16,14,1,1,1,0,0,0,0
John Glenn,15,0,15,14,1,1,1,0,0,0,0
Johnson Space Center,15,0,15,14,1,1,1,0,0,0,0
Lawrence Sperry,15,0,15,13,1,2,1,1,0,0,0
NYSE Euronext,15,0,15,14,1,1,1,0,0,0,0
National Security Space Launch,15,0,15,14,1,1,1,0,0,0,0
New Shepard,15,0,15,14,1,1,1,0,0,0,0
PayPal,15,0,12,12,0,0,0,0,0,0,0
Ronald Reagan Space and Missile Test Range,15,0,15,14,1,1,1,0,0,0,0
SolarCity,15,0,12,12,0,0,0,0,0,0,0
Space Shuttle,15,0,15,14,1,1,1,0,0,0,0
The Boring Company,15,0,13,13,0,0,0,0,0,0,0
Virgin Galactic,15,0,16,14,1,2,1,1,0,0,0
Abbott Laboratories,14,1,15,13,1,2,1,1,0,0,0
Astrium,14,0,14,13,1,1,1,0,0,0,0
Atlas II,14,0,15,13,1,2,2,0,0,0,1
Big Tech,14,1,15,13,1,2,1,1,0,0,0
Dream Chaser,14,0,16,13,1,3,1,2,0,0,0
Fisker Karma,14,0,14,13,1,1,1,0,0,0,0
Hermann Oberth,14,0,14,13,1,1,1,0,0,0,0
John Micklethwait,14,0,15,13,1,2,2,0,0,0,1
Kennedy Space Center,14,0,11,11,0,0,0,0,0,0,0
Launch Control Center,14,0,14,13,1,1,1,0,0,0,0
List of launch complexes,14,0,14,13,1,1,1,0,0,0,0
Lyndon Rive,14,0,15,12,1,3,2,1,0,0,1
Marc Tarpenning,14,1,13,13,0,0,0,0,0,0,0
Martin Eberhard,14,0,13,12,0,0,0,0,0,0,0
Michael Bloomberg,14,0,13,13,0,0,0,0,0,0,0
New Horizons,14,0,15,13,1,2,2,0,0,0,1
Reaction Engines,14,0,15,13,1,2,2,0,0,0,1
Satellite radio,14,0,14,13,1,1,1,0,0,0,0
Starlink,14,0,12,12,0,0,0,0,0,0,0
United Launch Alliance,14,0,14,13,1,1,1,0,0,0,0
XCOR Aerospace,14,0,14,13,1,1,1,0,0,0,0
X (social network),14,0,13,13,0,0,0,0,0,0,0
Amazon Leo,13,0,13,12,1,1,1,0,0,0,0
Apollo Applications Program,13,0,13,12,1,1,1,0,0,0,0
Ares Management,13,0,13,12,1,1,1,0,0,0,0
Arianespace,13,0,15,12,1,2,2,0,0,0,1
Baikonur Cosmodrome,13,0,13,12,1,1,1,0,0,0,0
Bangladesh Satellite-1,13,0,14,12,1,2,2,0,0,0,1
Boeing,13,0,13,12,1,1,1,0,0,0,0
Bombay Stock Exchange,13,0,14,12,1,2,2,0,0,0,1
CNBC,13,0,13,12,0,0,0,0,0,0,0
Calvin Souther Fuller,13,0,13,12,1,1,1,0,0,0,0
Deep Space Climate Observatory,13,0,13,12,1,1,1,0,0,0,0
Electric vehicle,13,0,12,11,0,0,0,0,0,0,0
Elevation Partners,13,0,17,12,1,2,1,1,0,0,0
Goddard Space Flight Center,13,1,15,12,1,3,2,1,0,0,1
Gordon Cooper,13,0,13,12,1,1,1,0,0,0,0
Honeywell Aerospace,13,0,14,9,1,5,1,3,1,0,0
Hyperloop Transportation Technologies,13,0,13,12,1,1,1,0,0,0,0
Jack Dorsey,13,0,14,12,1,2,2,0,0,0,1
Jim Cantrell,13,1,14,12,1,1,1,0,0,0,0
Lockheed Martin,13,0,13,12,1,1,1,0,0,0,0
Malcolm Forbes,13,0,13,12,1,1,1,0,0,0,0
McDonnell Douglas,13,0,14,12,1,2,2,0,0,0,1
Mercury Control Center,13,0,13,12,1,1,1,0,0,0,0
Neil Armstrong,13,0,13,12,1,1,1,0,0,0,0
Nissan Leaf,13,0,13,12,1,1,1,0,0,0,0
Orbital Space Plane Program,13,0,13,12,1,1,1,0,0,0,0
PGM-17 Thor,13,0,13,12,1,1,1,0,0,0,0
Patrick Space Force Base,13,0,13,12,1,1,1,0,0,0,0
PlayStation,13,0,7,6,1,1,1,0,0,0,0
Sergey Brin,13,0,13,12,1,1,1,0,0,0,0
SpaceX CRS-33,13,1,14,12,1,2,1,1,0,0,0
Sperry Corporation,13,0,15,12,1,3,2,1,0,0,1
Steve Forbes,13,0,13,12,1,1,1,0,0,0,0
Tesla Robotaxi,13,1,15,12,1,2,2,0,0,0,1
Tom Mueller,13,1,15,12,1,2,2,0,0,0,1
UTC Aerospace Systems,13,0,13,12,1,1,1,0,0,0,0
Alan Shepard,12,0,11,10,1,1,1,0,0,0,0
Artemis III,12,0,13,11,1,2,2,0,0,0,1
BAE Systems,12,0,12,11,1,1,1,0,0,0,0
BSE SENSEX,12,0,12,11,1,1,1,0,0,0,0
Barry Goldwater,12,0,12,11,1,1,1,0,0,0,0
Bigelow Aerospace,12,0,13,11,1,2,2,0,0,0,1
Bloomberg L.P.,12,0,9,9,0,0,0,0,0,0,0
Charles D. Walker,12,0,13,11,1,1,1,0,0,0,0
Christa McAuliffe,12,0,12,11,1,1,1,0,0,0,0
Control Data Corporation,12,0,12,11,1,1,1,0,0,0,0
Corn Ranch,12,0,12,11,1,1,1,0,0,0,0
Dan Schulman,12,0,12,11,1,1,1,0,0,0,0
Eastern Range,12,0,12,11,1,1,1,0,0,0,0
Exos Aerospace,12,1,14,11,1,3,3,0,0,0,2
Fidelity Investments,12,0,12,11,1,1,1,0,0,0,0
Gigafactory Mexico,12,0,13,11,1,2,2,0,0,0,1
June,12,0,12,10,1,2,2,0,0,0,1
LVMH,12,0,11,11,0,0,0,0,0,0,0
MacKenzie Scott,12,1,12,11,1,1,1,0,0,0,0
Mark Hurd,12,0,12,11,1,1,1,0,0,0,0
New Glenn,12,0,13,11,1,2,2,0,0,0,1
Omelek Island,12,0,12,11,1,1,1,0,0,0,0
OpenAI,12,0,11,11,0,0,0,0,0,0,0
Redwood Shores,12,0,13,11,1,2,2,0,0,0,1
Robert Zubrin,12,2,16,11,1,3,2,1,0,0,1
Saturn Corporation,12,0,13,11,1,1,1,0,0,0,0
SpaceX Crew-3,12,0,13,11,1,2,2,0,0,0,1
Space policy of the United States,12,0,12,11,1,1,1,0,0,0,0
Tesla Fremont Factory,12,0,12,11,1,1,1,0,0,0,0
Tesla next-generation vehicle platform,12,0,12,11,1,1,1,0,0,0,0
"Twitter, Inc.",12,0,12,11,1,1,1,0,0,0,0
Vandenberg Space Force Base,12,0,11,11,0,0,0,0,0,0,0
Vehicle Assembly Building,12,0,12,11,1,1,1,0,0,0,0
World war,12,0,12,11,1,1,1,0,0,0,0
Zip2,12,0,10,10,0,0,0,0,0,0,0
Affordable Connectivity Program,11,0,12,10,1,2,2,0,0,0,1
Air force,11,0,11,10,1,1,1,0,0,0,0
Akira Yoshino,11,0,11,10,1,1,1,0,0,0,0
Amazon Delta,11,0,12,10,1,2,2,0,0,0,1
Anderson-Prichard Oil Corporation,11,0,11,10,1,1,1,0,0,0,0
Apple Inc.,11,0,11,10,1,1,1,0,0,0,0
Automotive industry,11,0,10,10,0,0,0,0,0,0,0
B. C. Forbes,11,0,12,10,1,2,2,0,0,0,1
Bentley,11,0,11,10,1,1,1,0,0,0,0
Bezos Expeditions,11,1,12,10,1,1,1,0,0,0,0
Bloomberg Businessweek,11,0,11,10,1,1,1,0,0,0,0
Bloomberg Television,11,0,11,10,1,1,1,0,0,0,0
Bloomberg Terminal,11,0,11,10,1,1,1,0,0,0,0
CT Corporation,11,0,12,10,1,2,1,1,0,0,0
Christy Walton,11,0,11,10,1,1,1,0,0,0,0
Dave Limp,11,0,11,10,1,1,1,0,0,0,0
Financial Industry Regulatory Authority,11,0,11,9,1,2,2,0,0,0,1
Ford of Britain,11,0,11,10,1,1,1,0,0,0,0
GE Aerospace,11,0,12,10,1,2,1,1,0,0,0
Hyperloop pod competition,11,0,11,10,1,1,1,0,0,0,0
Intercontinental Exchange,11,0,11,9,1,2,1,1,0,0,0
J. B. Straubel,11,0,11,10,1,1,1,0,0,0,0
Korean War,11,0,11,10,1,1,1,0,0,0,0
"Nasdaq, Inc.",11,0,11,10,1,1,1,0,0,0,0
National Space Biomedical Research Institute,11,0,11,10,1,1,1,0,0,0,0
Outer Space Treaty,11,0,11,10,1,1,1,0,0,0,0
Peter Grauer,11,0,11,10,1,1,1,0,0,0,0
Scaled Composites,11,1,11,10,1,1,1,0,0,0,0
SpaceShipTwo,11,0,12,10,1,2,2,0,0,0,1
Sun Microsystems,11,0,11,10,1,1,1,0,0,0,0
Tesla Semi,11,0,12,10,1,2,2,0,0,0,1
Titan IV,11,0,12,10,1,2,2,0,0,0,1
Tom Wheeler,11,0,11,10,1,1,1,0,0,0,0
Ulrike Malmendier,11,0,11,10,1,1,1,0,0,0,0
United States Atomic Energy Commission,11,0,11,10,1,1,1,0,0,0,0
Vehicle,11,0,11,10,1,1,1,0,0,0,0
Wayback Machine,11,0,12,10,1,2,2,0,0,0,1
XM Satellite Radio,11,0,11,10,1,1,1,0,0,0,0
Anousheh Ansari,10,0,11,9,1,2,2,0,0,0,1
Antonio Gracias,10,0,10,9,1,1,1,0,0,0,0
Bloomberg Law,10,0,11,9,1,2,2,0,0,0,1
Blue Origin NS-17,10,0,11,9,1,2,2,0,0,0,1
Blue Origin NS-23,10,0,11,9,1,2,2,0,0,0,1
Buzz Aldrin,10,0,10,9,1,1,1,0,0,0,0
California,10,0,9,8,1,1,1,0,0,0,0
Charles Koch,10,0,10,9,1,1,1,0,0,0,0
Chevrolet Volt,10,0,11,9,1,2,2,0,0,0,1
Commercial Space Launch Competitiveness Act of 2015,10,0,9,8,1,1,1,0,0,0,0
Dawn Aerospace,10,0,11,9,1,2,2,0,0,0,1
Edgar F. Codd,10,0,10,9,1,1,1,0,0,0,0
Errol Musk,10,0,11,9,1,2,2,0,0,0,1
Gigafactory Shanghai,10,0,10,9,1,1,1,0,0,0,0
Goodrich Corporation,10,0,10,9,1,1,1,0,0,0,0
Integrate-Transfer-Launch Complex,10,0,11,9,1,2,2,0,0,0,1
Intel,10,0,10,6,1,4,1,0,3,0,0
International Energy Agency,10,0,11,5,1,6,3,2,1,0,2
Investment Company Act of 1940,10,0,10,9,1,1,1,0,0,0,0
Jaguar Land Rover,10,0,12,9,1,3,2,1,0,0,1
John F. Kennedy,10,0,10,9,1,1,1,0,0,0,0
Max Levchin,10,0,12,9,1,1,1,0,0,0,0
Mazda MX-5 (NA),10,0,10,9,1,1,1,0,0,0,0
Nasdaq,10,0,8,8,0,1,0,1,0,0,0
Ranger program,10,0,10,9,1,1,1,0,0,0,0
Richard Sylla,10,0,11,9,1,2,2,0,0,0,1
Silicon Valley,10,0,10,8,1,2,1,1,0,0,0
Sirius Satellite Radio,10,1,11,9,1,2,1,1,0,0,0
South Sea Company,10,0,11,9,1,2,2,0,0,0,1
SpaceShipOne,10,0,10,9,1,1,1,0,0,0,0
SpaceX Dragon,10,0,10,9,1,1,1,0,0,0,0
Space station,10,0,10,9,1,1,1,0,0,0,0
Stock market,10,0,8,7,1,1,1,0,0,0,0
The Wall Street Journal,10,0,10,9,1,1,1,0,0,0,0
US Orbital Segment,10,0,10,9,1,1,1,0,0,0,0
United Nations,10,0,10,9,1,1,1,0,0,0,0
United Technologies,10,0,13,9,1,4,1,3,0,0,0
Volvo Amazon,10,0,11,9,1,2,2,0,0,0,1
World War II,10,0,10,9,1,1,1,0,0,0,0
École Centrale Paris,9,0,9,5,1,4,3,1,0,0,2
Aerojet Rocketdyne,9,0,9,8,1,1,1,0,0,0,0
Air base,9,0,9,8,1,1,1,0,0,0,0
Alpha Magnetic Spectrometer,9,0,10,8,1,2,2,0,0,0,1
Alphabet Inc.,9,0,9,8,1,1,1,0,0,0,0
Aristotle Onassis,9,0,9,8,1,1,1,0,0,0,0
Barack Obama,9,0,9,8,1,1,1,0,0,0,0
Benjamin Franklin,9,0,9,7,1,2,1,1,0,0,0
Berkeley DB,9,2,12,8,1,4,3,1,0,0,2
Bloomberg News,9,0,8,8,0,1,1,0,0,0,1
Blue Origin NS-18,9,1,10,8,1,2,2,0,0,0,1
Blue Origin NS-21,9,1,10,8,1,2,2,0,0,0,1
Cold War,9,0,9,8,1,1,1,0,0,0,0
Communications satellite,9,0,9,8,1,1,1,0,0,0,0
Companies Act,9,0,10,8,1,2,2,0,0,0,1
Compaq,9,0,9,8,1,1,1,0,0,0,0
Donald Trump,9,0,9,8,1,1,1,0,0,0,0
Ed Oates,9,0,9,8,1,1,1,0,0,0,0
Electric car,9,0,7,7,0,1,0,1,0,0,0
European Space Agency,9,0,9,8,1,1,1,0,0,0,0
Forbes,9,0,8,8,0,0,0,0,0,0,0
General Motors,9,0,12,8,1,4,2,2,0,0,1
Gigafactory Berlin-Brandenburg,9,0,9,8,1,1,1,0,0,0,0
Gigafactory New York,9,1,11,8,1,3,2,1,0,0,1
Institute of technology,9,0,9,8,1,1,1,0,0,0,0
July,9,0,9,7,1,2,1,0,0,1,0
Kawasaki Aerospace Systems Company,9,0,9,8,1,1,1,0,0,0,0
Land Rover,9,0,10,8,1,2,2,0,0,0,1
Linda Yaccarino,9,0,9,7,1,2,1,1,0,0,0
Morgan Stanley,9,0,9,8,1,1,1,0,0,0,0
National Space Society,9,0,10,8,1,1,1,0,0,0,0
Privately held company,9,0,8,8,0,0,0,0,0,0,0
Project Juno,9,0,10,8,1,2,2,0,0,0,1
Rocket Science Games,9,0,11,7,1,4,3,1,0,0,2
Sam Altman,9,0,12,8,1,3,2,1,0,0,1
San Francisco Bay,9,0,10,8,1,1,1,0,0,0,0
Skylon (spacecraft),9,0,9,8,1,1,1,0,0,0,0
SpaceX Merlin,9,0,9,8,1,1,1,0,0,0,0
SpaceX Raptor,9,0,7,7,0,0,0,0,0,0,0
Surrey Satellite Technology,9,0,10,8,1,1,1,0,0,0,0
The Washington Post,9,0,9,8,1,1,1,0,0,0,0
Thomas Pink,9,0,10,8,1,2,2,0,0,0,1
United Aircraft Corporation,9,0,9,8,1,1,1,0,0,0,0
World Bank Group,9,0,9,8,1,1,1,0,0,0,0
Accenture,8,0,8,7,1,1,1,0,0,0,0
Allison V-1710,8,0,8,7,1,1,1,0,0,0,0
Amalgam Comics,8,0,9,7,1,2,2,0,0,0,1
Amazon Eve,8,0,8,7,1,1,1,0,0,0,0
Apollo Lunar Module,8,0,8,7,1,1,1,0,0,0,0
Atomic Energy Commission,8,0,8,7,1,1,1,0,0,0,0
Audi Q8,8,0,9,7,1,2,2,0,0,0,1
August,8,0,9,7,1,2,2,0,0,0,1
Autopilot,8,0,7,7,0,1,0,1,0,0,0
Axiom Station,8,0,9,7,1,2,2,0,0,0,1
Bell X-1,8,0,8,7,1,1,1,0,0,0,0
Blue Ring,8,0,8,7,1,1,1,0,0,0,0
Boeing B-50 Superfortress,8,0,8,7,1,1,1,0,0,0,0
Bubble Act,8,0,8,7,1,1,1,0,0,0,0
Chief technology officer,8,0,8,7,1,1,1,0,0,0,0
Chrysler,8,0,8,7,1,1,1,0,0,0,0
DARPA Falcon Project,8,0,8,7,1,1,1,0,0,0,0
December,8,0,8,7,1,1,1,0,0,0,0
Douglas C-124 Globemaster II,8,0,8,7,1,1,1,0,0,0,0
Elmer Ambrose Sperry,8,0,8,7,1,1,1,0,0,0,0
Embraer E-Jet E2 family,8,0,8,7,1,1,1,0,0,0,0
Founders Brewing Company,8,0,8,7,1,1,1,0,0,0,0
General Electric,8,0,8,7,1,1,1,0,0,0,0
General Electric Company,8,0,13,7,1,5,1,4,0,0,0
George W. Bush,8,0,8,7,1,1,1,0,0,0,0
Gigafactory Texas,8,0,8,7,1,1,1,0,0,0,0
Hearst Communications,8,0,8,7,1,1,1,0,0,0,0
Hughes Aircraft Company,8,0,8,7,1,1,1,0,0,0,0
International airport,8,0,8,7,1,1,1,0,0,0,0
JD Edwards,8,0,8,7,1,1,1,0,0,0,0
