source_page,answerable_facts,relations,definitions,ingestion_candidates,is_high_yield,is_low_yield
Community Memory,8,7,1,8,True,False
Sun Microsystems,6,6,0,10,True,True
NYSE Group,5,5,0,0,True,False
Apple Computer,4,4,0,0,True,False
Elon Reeve Musk,4,4,0,0,True,False
Hughes Aircraft Company,4,3,1,7,True,True
London Stock Exchange,4,3,1,5,True,False
Saturn IB,4,4,0,8,True,False
Amazon Bookstore Cooperative,3,2,1,5,True,False
Bloomberg L.P,3,3,0,0,True,False
Bloomberg Radio,3,2,1,14,True,False
Compaq Computer,3,2,1,0,True,False
General Electric,3,3,0,7,True,True
Government Accountability Office,3,2,1,0,True,False
Intel Corporation,3,2,1,0,True,False
Jaguar Land Rover,3,2,1,10,True,False
Northrop Grumman,3,3,0,20,True,False
Oracle Rdb,3,3,0,11,True,False
Reaction Engines,3,2,1,12,True,False
Royal Navy,3,2,1,4,True,False
SpaceX Hawthorne,3,3,0,0,True,False
World Economic Forum,3,2,1,6,True,False
Alain Chevalier,2,1,1,0,True,False
Amazon Web Services,2,2,0,5,True,True
Bankers Trust,2,1,1,5,True,False
Berkeley DB,2,2,0,9,True,False
Bloomberg Government,2,1,1,7,True,False
Blue Ring Pathfinder,2,1,1,0,True,False
Boeing X-37,2,2,0,15,True,False
Canada,2,1,1,6,True,False
Caterham Cars,2,2,0,6,True,True
CBS News,2,1,1,5,True,False
Dow Jones,2,1,1,5,True,False
Financial Industry Regulatory Authority,2,1,1,10,True,False
Giga Nevada,2,2,0,0,True,False
Harvard University,2,1,1,6,True,False
Henrik Fisker,2,1,1,7,True,False
International Energy Agency,2,1,1,10,True,False
Kistler Aerospace,2,1,1,0,True,False
New York Times,2,2,0,0,True,False
Project Mercury,2,1,1,16,True,False
Richard Branson,2,1,1,5,True,False
Rocket Science Games,2,1,1,9,True,False
Satellite Radio,2,2,0,14,True,True
Scaled Composites,2,2,0,11,True,True
Sea Launch,2,2,0,21,True,True
Sierra Nevada Corporation,2,2,0,18,True,True
Silicon Valley,2,2,0,10,True,True
Smith Electric Vehicles,2,1,1,8,True,False
Wayback Machine,2,1,1,11,True,False
White Sands Missile Range,2,1,1,15,True,False
World Government,2,1,1,3,True,True
École Centrale Paris,2,2,0,9,True,False
Abe Fortas,1,0,1,6,False,False
Advanced Vehicle Systems,1,0,1,0,False,False
Aerospace manufacturing,1,1,0,0,False,False
Affordable Connectivity Program,1,0,1,11,False,False
Air Command,1,0,1,5,False,True
Aliko Dangote,1,0,1,5,False,False
Alpha Magnetic Spectrometer,1,0,1,9,False,False
Amalgam Comics,1,0,1,8,False,False
Amazon Basin,1,0,1,6,False,True
Amazon Delta,1,0,1,11,False,False
Amazonian Guard,1,0,1,5,False,False
Amazons Company,1,0,1,0,False,False
Ampex Corporation,1,0,1,0,False,False
Amsterdam Stock Exchange,1,0,1,0,False,False
analytics,1,0,1,2,False,False
Andersen Consulting,1,0,1,0,False,False
