title,normalized_title,pageid,revision_id,source_url,raw_snapshot_path,normalized_doc_path,retrieved_at,raw_text_sha256,fetch_status,ready_for_self_ingestion,requires_quarantine,safe_for_general_runtime
Elon Musk,Elon Musk,909036,1359424539,https://en.wikipedia.org/wiki/Elon_Musk,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Elon_Musk.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Elon_Musk.md,2026-06-15T07:15:23Z,58745727304b770df7d0b685a717a742f62875f7ae1696a2234b3957ae7736ac,success,True,True,False
"Tesla, Inc.","Tesla, Inc.",5533631,1359041831,"https://en.wikipedia.org/wiki/Tesla,_Inc.",/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Tesla%2C_Inc..json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Tesla%2C_Inc..md,2026-06-15T07:15:25Z,8d0f5aa9802bceaa770bfe3f40db7f275ac0989cf20b04e7b46ab66e659a4f3e,success,True,True,False
SpaceX,SpaceX,832774,1359429746,https://en.wikipedia.org/wiki/SpaceX,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/SpaceX.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/SpaceX.md,2026-06-15T07:15:26Z,58c8e94d79367c9f5f6ab392c32cf7b6f898787bb9407b80820d9f1a1f2c61c4,success,True,True,False
Starlink,Starlink,45111627,1359204717,https://en.wikipedia.org/wiki/Starlink,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Starlink.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Starlink.md,2026-06-15T07:15:27Z,68b68f625030208cffdcb34e2c3b62437f6dd3c671c7da3301e23c514b909796,success,True,True,False
Falcon 1,Falcon 1,840974,1351580477,https://en.wikipedia.org/wiki/Falcon_1,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Falcon_1.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Falcon_1.md,2026-06-15T07:15:28Z,45b86892b936a6e09deea570c7233dc8cff50aef898191cafa640dd029f0fcde,success,True,True,False
Falcon 9,Falcon 9,2647515,1359084552,https://en.wikipedia.org/wiki/Falcon_9,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Falcon_9.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Falcon_9.md,2026-06-15T07:15:30Z,f93489d3e8a257d0e3e3295c69386928dbb94d9e27bc102d10ba2b04ec3ab407,success,True,True,False
Neuralink,Neuralink,53615490,1359201178,https://en.wikipedia.org/wiki/Neuralink,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Neuralink.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Neuralink.md,2026-06-15T07:15:31Z,54072aeaf8aad3ac64570af14bde44e418928e327d27237a567b1e992076efaf,success,True,True,False
The Boring Company,The Boring Company,53215263,1358554054,https://en.wikipedia.org/wiki/The_Boring_Company,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/The_Boring_Company.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/The_Boring_Company.md,2026-06-15T07:15:32Z,3e29a6154f7497a495450b2f1cd150630b5bed2ba6629a204a213659811348f4,success,True,True,False
OpenAI,OpenAI,48795986,1359431983,https://en.wikipedia.org/wiki/OpenAI,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/OpenAI.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/OpenAI.md,2026-06-15T07:15:33Z,2ab1ff764b9f27ea6e2ecdfc6db8dbf4f8ef253e04c24010c9ce40fdcadd83f3,success,True,True,False
SolarCity,SolarCity,18737268,1356428735,https://en.wikipedia.org/wiki/SolarCity,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/SolarCity.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/SolarCity.md,2026-06-15T07:15:34Z,b9041ffd928acf6b4c66c73e78b08de2bf3bd861d6010857fcb890c11159257e,success,True,True,False
